Australia,Bangladesh,England,India,Ireland,New Zealand,Pakistan,South Africa,Sri Lanka,Thailand,West Indies
AJ Blackwell,Sharmin Akhter,SIR Dunkley,V Krishnamurthy,KJ Garth,RA Mair,Nida Dar,F Tunnicliffe,HAM Samuddika,N Chaiwai,DJS Dottin
JL Hunter,Shaila Sharmin,NR Sciver-Brunt,Shafali Verma,L Little,MM Penfold,Ayesha Zafar,T Brits,MAA Sanjeewani,S Lateh,SA Campbelle
L Cheatle,Nuzhat Tasnia,FC Wilson,A Das,CC Dalton,HM Rowe,Anam Amin,MM Letsoalo,NND de Silva,N Chantam,SF Daley
SJ Coyte,Nahida Akter,KH Sciver-Brunt,S Mandhana,MEMO Scott-Hayward,KT Perkins,Sadia Yousuf,N de Klerk,GWHM Perera,N Koncharoenkai,AA Alleyne
MM Lanning,Nigar Sultana,FR Davies,M Mehta,AN Kelly,FL Mackay,Sidra Nawaz,S Jafta,I Ranaweera,R Padunglerd,A Mohammed
JE Cameron,Khadija Tul Kubra,GA Elwiss,YH Bhatia,GH Lewis,SW Bates,Aiman Anwer,T Chetty,WGAKK Kulasuriya,S Laomi,TD Smartt
AJ Healy,Shorna Akter,D Hazell,RM Ghosh,AJ Kenealy,GE Plimmer,Syeda Aroob Shah,S Ismail,HASD Siriwardene,S Tippoch,HK Matthews
A Gardner,Shohely Akhter,JL Gunn,AA Patil,IMHC Joyce,SFM Devine,Javeria Khan,A Khaka,PRCS Kumarihami,C Sutthiruang,CN Nation
ML Schutt,Jahanara Alam,TT Beaumont,H Kaur,EJ Tice,SRH Curtis,Muneeba Ali,Z Mali,H Madavi,W Liengprasert,K Ramharack
M Strano,Salma Khatun,A Shrubsole,Poonam Yadav,CMA Shillington,HR Huddleston,Iram Javed,S Luus,HMD Rasangika,O Kamchomphu,NY McLean
EA Perry,Sanjida Islam,LA Marsh,P Vastrakar,C Murray,AM Peterson,Diana Baig,M Kapp,MDN Hansika,N Boochatham,S Gajnabi
EJ Villani,Fargana Hoque,CE Dean,D Hemalatha,EAJ Richardson,AC Kerr,Qanita Jalil,TS Sekhukhune,U Thimashini,,CA Henry
A Sutherland,Ayasha Rahman,S Ecclestone,S Verma,G Dempsey,JM Kerr,Fatima Sana,Y Fourie,SS Weerakkody,,SS Connell
A King,Rumana Ahmed,RL Grundy,DB Sharma,A Hunter,NJ Browne,Sania Khan,D Tucker,OU Ranasinghe,,SACA King
D Brown,S Mostary,LS Greenway,G Sultana,L Maritz,KJ Martin,Asmavia Iqbal,L Lee,HHC Gunaratne,,Kycia A Knight
S Molineux,Panna Ghosh,SJ Taylor,J Goswami,LK O'Reilly,MJG Nielsen,Umaima Sohail,L Wolvaardt,S Sandeepani,,MR Aguilleira
BL Mooney,Marufa Akter,HC Knight,Soniya Dabir,MV Waldron,SJ McGlashan,Sidra Ameen,D van Niekerk,BMSM Kumari,,SL Quintyne
DM Kimmince,Fahima Khatun,LCN Smith,JI Rodrigues,RA Lewis,AE Satterthwaite,Bismah Maroof,A Bosch,KADA Kanchana,,B Cooper
KM Beams,Ritu Moni,KL Gordon,M Joshi,SM Kavanagh,LM Kasperek,Batool Fatima,M du Preez,MADD Surangika,,RS Williams
RM Farrell,Shamima Sultana,MK Villiers,DP Vaidya,J Maguire,LMM Tahuhu,Sadia Iqbal,M Klaas,WK Dilhari,,SC Selman
GM Harris,Lata Mondal,LK Bell,L Kumari,C Raack,RH Priest,Sana Mir,Y van der Westhuizen,KDU Prabodhani,,ASS Fletcher
JL Jonassen,Murshida Khatun,AE Jones,SK Naidu,K McKenna,B Bezuidenhout,Aliya Riaz,N Mlaba,H Karunaratne,,Z James
NJ Carey,,DN Wyatt,RS Gayakwad,CJ Metcalfe,EJ Carson,Sadaf Shamas,SA Fritz,M Shehani,,T Holder
G Wareham,,CM Edwards,E Bisht,CNIM Joyce,JM Watkin,Nahida Khan,CL Tryon,AC Jayangani,,Kyshona A Knight
TM McGrath,,A Capsey,VR Vanitha,L Paul,HNK Jensen,Marina Iqbal,M Daniels,LE Kaushalya,,SR Taylor
TJ Vlaeminck,,L Winfield,S Sharma,ELC Flanagan,FC Jonas,Tuba Hassan,S Loubser,RS Vandort,,LAGL Kirby
HL Ferling,,JM Dibble,S Rana,L Delany,ML Green,Nashra Sandhu,D Devnarain,SIP Fernando,,
RL Haynes,,S Glenn,KV Jain,J Gray,EM Bermingham,Nain Abidi,,BYA Mendis,,
EA Osborne,,,RP Yadav,LN McCarthy,FC Leydon-Davis,Ayesha Naseem,,RMVD Gunaratne,,
,,,Renuka Singh,O Prendergast,,Sumaiya Siddiqi,,PM Weerakkody,,
,,,A Reddy,,,,,,,
,,,H Deol,,,,,,,
,,,S Pandey,,,,,,,
,,,PG Raut,,,,,,,
,,,M Raj,,,,,,,
,,,T Bhatia,,,,,,,
